Questions,Checklist,Answers for Google (from 1 min to 5 max),Answers for Bing (from 1 min to 5 max),Answers for Yahoo (from 1 min to 5 max)
What is the relative importance of the different main parameters used in determining ranking?,Does the documentation provide the relative importance of the different main parameters used in determining ranking?,2,3,1
What are the main parameters used for determining ranking?,Does the documentation provide the main parameters used for determining ranking?,3,4,1
Why were specific parameters selected as the main factors in determining the ranking of goods or services?,Does the documentation explain why specific parameters were selected as the main factors in determining the ranking of goods or services?,4,2,1
"What is the business logic behind allowing users to affect the ranking of their products or services through payments, and what are the potential consequences of this?","Does the documentation explain what the business logic behind allowing users to affect the ranking of their products or services through payments is, and what the potential consequences of this are?",1,4,1
What is most important in determining ranking?,Does the documentation explain what is most important in determining ranking?,4,4,1
What are the possibilities to influence ranking against direct or indirect payment (if any)?,Does the documentation explain the possibilities to influence ranking against direct or indirect payment (if any)?,1,5,1
What is the internal process conducted by the provider to determine the main parameters for the ranking of goods or services?,Does the documentation explain the internal process conducted by the provider to determine the main parameters for the ranking of goods or services?,1,1,1
"What is the extent to which the ranking mechanism considers the relevance of the characteristics of the goods and services, for consumers?","Does the documentation explain the extent to which the ranking mechanism considers the relevance of the characteristics of the goods and services, for consumers?",2,2,1
What is the extent to which the ranking mechanism considers the design characteristics of the websites?,Does the documentation explain the extent to which the ranking mechanism considers the design characteristics of the websites?,1,1,1
What is the extent to which the ranking mechanism considers the characteristics of the goods and services offered to consumers?,Does the documentation explain the extent to which the ranking mechanism considers the characteristics of the goods and services offered to consumers?,1,5,1
"What are the effects of payments, on ranking (if any)?","Does the documentation explain the effects of payments, on ranking (if any)?",1,5,1
How can users improve the ranking of their goods or services?,Does the documentation explain how users can improve the ranking of their goods or services?,4,4,3
"How can users alter the ranking of their products or services through direct or indirect payments to the provider, and what effect does this have?","Does the documentation explain how users can alter the ranking of their products or services through direct or indirect payments to the provider, and what effect this has?",1,5,1
"How does the ranking mechanism work and, in particular, what are the main parameters used?","Does the documentation explain how the ranking mechanism works and, in particular, what the main parameters used are?",3,4,1
"How does the ranking mechanism consider the relevance of the characteristics of the goods and services, for consumers?","Does the documentation explain how the ranking mechanism considers the relevance of the characteristics of the goods and services, for consumers?",2,2,2
How does the ranking mechanism consider the design characteristics of the websites?,Does the documentation explain how the ranking mechanism considers the design characteristics of the websites?,3,5,1
How does the ranking mechanism consider the characteristics of the goods and services offered to consumers?,Does the documentation explain how the ranking mechanism considers the characteristics of the goods and services offered to consumers?,1,5,1
"How is ""ranking"" defined?","Does the documentation explain how ""ranking"" is defined/define ""ranking""?",3,3,1
"How is ""main parameter used for ranking"" defined?","Does the documentation explain how ""main parameter used for ranking"" is defined/define ""main parameter used for ranking""?",1,1,1
